14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,3,27,27,27,27,154,27,27,27,27,27,27,154,27,27,27,27,5,14
14,16,40,40,40,40,167,40,40,40,40,40,40,167,40,40,40,40,18,14
14,29,53,53,53,53,180,53,53,53,53,53,53,180,53,53,53,53,31,14
14,15,-1,-1,-1,-1,184,-1,-1,-1,-1,-1,-1,184,-1,-1,-1,-1,13,14
14,15,198,237,238,198,157,-1,-1,-1,-1,-1,-1,156,198,241,242,198,13,14
14,15,211,250,251,211,170,-1,-1,-1,-1,-1,-1,169,211,254,255,211,13,14
14,15,224,263,264,224,183,-1,-1,-1,-1,-1,-1,182,224,267,268,224,13,14
14,15,-1,-1,-1,-1,249,-1,-1,-1,-1,-1,-1,249,-1,-1,-1,-1,13,14
14,15,-1,-1,-1,-1,262,-1,-1,-1,-1,-1,-1,262,-1,-1,-1,-1,13,14
14,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,14
14,15,-1,-1,-1,-1,158,-1,-1,-1,-1,-1,-1,158,-1,-1,-1,-1,13,14
14,15,198,241,242,198,157,-1,-1,-1,-1,-1,-1,156,198,237,238,198,13,14
14,15,211,254,255,211,170,-1,-1,-1,-1,-1,-1,169,211,250,251,211,13,14
14,15,224,267,268,224,183,-1,-1,-1,-1,-1,-1,182,224,263,264,224,13,14
14,15,-1,-1,-1,-1,184,-1,-1,-1,-1,-1,-1,184,-1,-1,-1,-1,13,14
14,15,-1,-1,-1,-1,184,-1,-1,-1,-1,-1,-1,184,-1,-1,-1,-1,13,14
14,15,-1,-1,-1,-1,184,-1,-1,-1,-1,-1,-1,184,-1,-1,-1,-1,13,14
14,42,1,1,1,1,1,1,2,-1,-1,0,1,1,1,1,1,1,44,14
14,14,14,14,14,14,14,14,15,-1,-1,13,14,14,14,14,14,14,14,14
